Posicion: 0
0 1 20
0 2 24.0832
0 3 32.9848
0 4 32.9848
0 5 42.7551
0 6 55.7136
0 7 63.2456
0 8 61.1882
0 9 70.8802
0 10 78.5875
0 11 86.3481
0 12 94.1488
0 13 101.98
0 14 92.7793
0 15 100.08
0 16 116.069
0 17 124.064
0 18 132.061
0 19 140.057
0 20 148.054
0 21 141.421
0 22 125.603
0 23 117.712
0 24 133.507
0 25 149.345
0 26 157.277
0 27 165.215
0 28 172.418
0 29 184.043
0 30 184.391
0 31 185.084
0 32 198.645
0 33 208.154
0 34 224.143
0 35 224.571
0 36 232.86
0 37 232.31
0 38 232.034
0 39 232.034
0 40 232.31
0 41 232.86
0 42 233.684
0 43 249.576
0 44 248.805
0 45 248.29
0 46 248.032
0 47 248.032
0 48 248.29
0 49 248.805
0 50 256.78
0 51 256.281
0 52 256.031
0 53 256.031
0 54 256.281
0 55 256.78
0 56 257.527
0 57 258.519
0 58 250.599
0 59 234.776
0 60 236.136
0 61 245.153
0 62 252.99
0 63 261.228
0 64 262.937
0 65 270.732
0 66 276.926
0 67 274.925
0 68 282.843
0 69 284.788
0 70 286.356
0 71 288.139
0 72 290.131
0 73 292.329
0 74 294.727
0 75 287.138
0 76 297.321
0 77 300.107
0 78 283.746
0 79 277.849
0 80 274.838
0 81 272.029
0 82 269.429
0 83 267.043
0 84 264.877
0 85 256.632
0 86 259.384
0 87 262.488
0 88 266.661
0 89 266.03
0 90 269.318
0 91 272.8
0 92 284.45
0 93 291.671
0 94 298.931
0 95 302.338
0 96 295.161
0 97 288.028
0 98 280.321
0 99 270.969
0 100 266.923
0 101 263.059
0 102 259.384
0 103 255.906
0 104 248.676
0 105 241.495
0 106 238.025
0 107 252.634
0 108 259.237
0 109 249.576
0 110 246.739
0 111 254.943
0 112 251.746
0 113 244.131
0 114 241.76
0 115 248.91
0 116 239.633
0 117 237.756
0 118 191.207
0 119 189.188
0 120 187.489
0 121 186.118
0 122 185.084
0 123 184.391
0 124 184.043
0 125 172.047
0 126 164.049
0 127 156.051
0 128 156.461
0 129 148.486
0 130 140.513
0 131 132.544
0 132 124.579
0 133 118.457
0 134 120.333
0 135 122.703
0 136 125.539
0 137 128.81
0 138 132.484
0 139 125.539
0 140 129.8
0 141 134.402
0 142 139.313
0 143 144.499
0 144 150.572
0 145 145.602
0 146 140.911
0 147 136.528
0 148 141.421
0 149 153.935
0 150 176.045
0 151 173.297
0 152 168.808
0 153 165.747
0 154 167.093
0 155 170.88
0 156 193.536
0 157 196.163
0 158 199.078
0 159 202.267
0 160 209.418
0 161 213.354
0 162 217.513
0 163 221.883
0 164 226.451
0 165 240.865
0 166 250.727
0 167 257.402
0 168 257.992
0 169 249.062
0 170 242.157
0 171 242.157
0 172 234.367
0 173 223.607
0 174 205.718
0 175 182.472
0 176 179.109
0 177 170.176
0 178 170.176
0 179 179.109
0 180 186.118
0 181 190.032
0 182 194.196
0 183 198.595
0 184 203.214
0 185 201.792
0 186 208.038
0 187 218.687
0 188 212.603
0 189 206.649
0 190 197.99
0 191 188.351
0 192 181.108
0 193 172.743
0 194 167.475
0 195 161.443
0 196 166.901
0 197 161.245
0 198 155.795
0 199 149.933
0 200 155.589
0 201 147.187
0 202 135.882
0 203 124.579
0 204 113.278
0 205 101.98
0 206 100
0 207 93.723
0 208 88.8144
0 209 95.4149
0 210 102.215
0 211 106.508
0 212 113.208
0 213 109.179
0 214 116.276
0 215 120.067
0 216 127.059
0 217 123.483
0 218 130.782
0 219 134.164
0 220 141.365
0 221 138.159
0 222 132.966
0 223 123.223
0 224 115.447
0 225 107.703
0 226 100
0 227 92.3472
0 228 84.7585
0 229 77.2528
0 230 72.9931
0 231 80.895
0 232 88.8144
0 233 96.7471
0 234 96.0833
0 235 88.0909
0 236 80.0999
0 237 72.111
0 238 64.1249
0 239 56.1427
0 240 48.1664
0 241 40
0 242 40.7922
0 243 49.4773
0 244 57.2713
0 245 65.1153
0 246 55.7136
0 247 48.8262
0 248 60
0 249 62.6099
0 250 69.857
0 251 82.4621
0 252 87.7269
0 253 82.0731
0 254 76.4199
0 255 70.7672
0 256 76.8375
0 257 72.111
0 258 68
0 259 64.622
0 260 72.111
0 261 82.4621
0 262 93.0376
0 263 103.769
0 264 114.612
0 265 121.655
0 266 118.186
0 267 115.169
0 268 112.641
0 269 110.635
0 270 92.0869
0 271 84.0952
0 272 76.1052
0 273 68.1175
0 274 60.1332
0 275 52.1536
0 276 42.7551
0 277 43.2666
0 278 34.4093
0 279 17.8885
Posicion: 1
1 2 18.4391
1 3 34.176
1 4 42.5206
1 5 50.4777
1 6 65.6049
1 7 72.111
1 8 68
1 9 78.8923
1 10 85.8836
1 11 93.0376
1 12 100.319
1 13 107.703
1 14 97.4064
1 15 101.272
1 16 117.098
1 17 125.028
1 18 132.966
1 19 140.911
1 20 148.862
1 21 145.602
1 22 130.292
1 23 122.703
1 24 137.928
1 25 153.31
1 26 161.047
1 27 168.808
1 28 174.951
1 29 185.559
1 30 186.762
1 31 188.298
1 32 201.246
1 33 209.876
1 34 225.743
1 35 226.874
1 36 235.423
1 37 234.197
1 38 233.238
1 39 232.551
1 40 232.138
1 41 232
1 42 232.138
1 43 248.129
1 44 248
1 45 248.129
1 46 248.516
1 47 249.159
1 48 250.056
1 49 251.205
1 50 259.106
1 51 257.992
1 52 257.123
1 53 256.5
1 54 256.125
1 55 256
1 56 256.125
1 57 256.5
1 58 248.516
1 59 232.551
1 60 233.238
1 61 241.868
1 62 249.808
1 63 257.992
1 64 259.106
1 65 267.013
1 66 273.876
1 67 272.734
1 68 280.713
1 69 281.823
1 70 282.843
1 71 284.085
1 72 285.545
1 73 287.221
1 74 289.109
1 75 281.368
1 76 291.204
1 77 293.503
1 78 277.042
1 79 270.703
1 80 268.209
1 81 265.932
1 82 263.879
1 83 262.053
1 84 260.461
1 85 252.23
1 86 254.244
1 87 256.632
1 88 259.977
1 89 258.712
1 90 261.48
1 91 264.462
1 92 276.319
1 93 283.746
1 94 291.204
1 95 294.156
1 96 286.775
1 97 279.428
1 98 271.035
1 99 261.197
1 100 257.62
1 101 254.244
1 102 251.078
1 103 248.129
1 104 240.666
1 105 233.238
1 106 230.339
1 107 245.406
1 108 252.357
1 109 242.916
1 110 240.666
1 111 248.91
1 112 246.447
1 113 238.663
1 114 236.913
1 115 244.369
1 116 235.423
1 117 234.197
1 118 186.762
1 119 185.559
1 120 184.694
1 121 184.174
1 122 184
1 123 184.174
1 124 184.694
1 125 172.743
1 126 164.779
1 127 156.818
1 128 156.205
1 129 148.216
1 130 140.228
1 131 132.242
1 132 124.258
1 133 116.069
1 134 116.619
1 135 117.712
1 136 119.331
1 137 121.458
1 138 124.064
1 139 116.619
1 140 119.867
1 141 123.548
1 142 127.624
1 143 132.061
1 144 138.679
1 145 134.462
1 146 130.599
1 147 127.122
1 148 132.966
1 149 146.751
1 150 169.8
1 151 167.905
1 152 165.215
1 153 164.049
1 154 164.438
1 155 166.373
1 156 188.298
1 157 190.158
1 158 192.333
1 159 194.813
1 160 200.639
1 161 203.961
1 162 207.538
1 163 211.358
1 164 215.407
1 165 229.817
1 166 240.133
1 167 247.095
1 168 248.676
1 169 239.733
1 170 232.551
1 171 232.551
1 172 225.85
1 173 215.407
1 174 197.585
1 175 174.631
1 176 172.047
1 177 163.218
1 178 161.245
1 179 170.176
