Posicion: 0
0 1 1118.03
0 2 3621.12
0 3 3891.34
0 4 5205.85
0 5 4884.33
0 6 4650
0 7 4975.19
0 8 6247.6
0 9 6408
0 10 8009.31
0 11 7803.15
0 12 8500
0 13 8664.44
0 14 9414.48
0 15 9521.69
0 16 9030.64
0 17 9408.11
0 18 6180.01
0 19 5561.02
0 20 3832.75
0 21 3050
0 22 1931.32
0 23 4750
0 24 4366.06
0 25 6791.54
0 26 7403.04
0 27 8290.92
0 28 7409.63
0 29 6647.18
0 30 6524.19
0 31 8487.93
0 32 8984.71
0 33 10286.2
0 34 9587.79
0 35 9737.17
0 36 9637.69
0 37 11029.3
0 38 11416
0 39 11536.5
0 40 12092.4
0 41 9793.11
0 42 9080.89
0 43 8508.97
0 44 7800
0 45 6587.3
0 46 9500
0 47 9055.38
0 48 11147.3
0 49 11814.9
0 50 12470.1
0 51 11448.7
0 52 10577
0 53 10271.4
0 54 12254.9
0 55 12865.2
0 56 13877.6
0 57 12964.8
0 58 12747.5
0 59 12482.9
0 60 14134.4
0 61 14666.7
0 62 15157.6
0 63 15781.7
0 64 14097.6
0 65 13383.8
0 66 13237.8
0 67 12550
0 68 11321.7
0 69 16269.3
0 70 17936.8
0 71 18830.8
0 72 18985.5
0 73 10467.6
0 74 3605.55
0 75 3716.18
Posicion: 1
1 2 2926.18
1 3 3360.43
1 4 4555.53
1 5 4049.15
1 6 3684.09
1 7 3950
1 8 5392.82
1 9 5640.26
1 10 7204.38
1 11 6894
1 12 7516.65
1 13 7650
1 14 8501.91
1 15 8660.98
1 16 8297.74
1 17 8727.11
1 18 5765.63
1 19 5091.66
1 20 4200
1 21 3688.16
1 22 2860.07
1 23 5344.39
1 24 4750
1 25 6806.25
1 26 7463.58
1 27 8193.98
1 28 7224.38
1 29 6394.14
1 30 6177.78
1 31 8175.88
1 32 8730.69
1 33 9915.17
1 34 9127.63
1 35 9154.92
1 36 9004.72
1 37 10490.2
1 38 10928.2
1 39 11186.6
1 40 11773.9
1 41 9782.89
1 42 9067.11
1 43 8950
1 44 8360.02
1 45 7252.07
1 46 10049.9
1 47 9500
1 48 11367.2
1 49 12051.7
1 50 12595.8
1 51 11537.4
1 52 10645.3
1 53 10288.5
1 54 12236.5
1 55 12874.9
1 56 13778.4
1 57 12815
1 58 12500
1 59 12197.2
1 60 13890
1 61 14455.5
1 62 15051.7
1 63 15691.2
1 64 14258.1
1 65 13550.8
1 66 13700
1 67 13088.3
1 68 11921.8
1 69 16886.1
1 70 17993.9
1 71 18784.3
1 72 18923.5
1 73 9360.56
1 74 3640.05
1 75 3828.84
Posicion: 2
2 3 700
2 4 1629.44
2 5 1367.75
2 6 1627.88
2 7 2193.17
2 8 2700
2 9 2789.27
2 10 4398.17
2 11 4307.03
2 12 5168.41
2 13 5440.59
2 14 5900
2 15 5941.38
2 16 5413.41
2 17 5813.78
2 18 3001.67
2 19 2289.65
2 20 3572.46
2 21 3962.95
2 22 4208.62
2 23 5022.45
2 24 3990.61
2 25 4750
2 26 5450
2 27 5817.52
2 28 4739.91
2 29 3842.2
2 30 3488.91
2 31 5463.74
2 32 6082.15
2 33 7109.95
2 34 6255.95
2 35 6230.97
2 36 6079.68
2 37 7574.46
2 38 8031.97
2 39 8390.02
2 40 9003.47
2 41 7501.5
2 42 6806.61
2 43 7747.58
2 44 7536.08
2 45 6850.18
2 46 9080.89
2 47 8271.18
2 48 9500
2 49 10200
2 50 10495.6
2 51 9390.83
2 52 8485.28
2 53 8041.14
2 54 9876.23
2 55 10551.3
